Entity,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Solomon Islands,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,57010,57035,57072,57121,57183,57257,57344,57444,57556,57682,57820,57970,58134,58311,58501,58704,58920,59149,59392,59648,59917,60188,60460,60733,61007,61283,61560,61838,62117,62398,62680,62963,63247,63533,63820,64108,64398,64689,64981,65274,65412,65550,65688,65825,65963,66100,66237,66374,66511,66648,66785,66922,67058,67195,67331,67467,67603,67739,67874,68010,68145,68281,68411,68546,68680,68815,68945,69079,69213,69347,69476,69610,69743,69872,70005,70137,70267,70399,70530,70662,70793,70924,71054,71185,71315,71445,71574,71704,71833,71961,72090,72215,72343,72471,72598,72724,72847,72974,73099,73225,73349,73473,73598,73722,73845,73968,74091,74497,74833,75171,75511,75852,76194,76539,76884,77232,77581,77931,78283,78637,79048,79519,80049,80583,81120,81661,82205,82753,83304,83860,84419,84981,85548,86118,86692,87270,87852,88437,89027,90000,92000,94000,97000,99000,102000,105000,108000,111000,114000,118000,121000,125000,129000,133000,137000,141000,145000,150000,155000,160000,166000,173000,179000,186000,193000,201000,208000,215000,223000,231000,238000,246000,255000,263000,271000,279000,287000,295000,303000,312000,321000,330000,340000,349000,359000,370000,380000,391000,402000,413000,424000,435000,447000,459000,470000,481000,492000,503000,515000,528000,542000,556000,571000,587000,603000,619000,636000,653000,670000
Somalia,991912,992336,992760,993185,993609,994034,994459,994884,995309,995738,996444,997431,998703,1000260,1002105,1004240,1006666,1009386,1012401,1015714,1019326,1023240,1027457,1031980,1036810,1041950,1047402,1053167,1059249,1065648,1072368,1079130,1085935,1092782,1099673,1106607,1113585,1120607,1127674,1134784,1141940,1149141,1156387,1163679,1171016,1178401,1185831,1193309,1200833,1208406,1215931,1223504,1231123,1238791,1246505,1254268,1262080,1269939,1277848,1285806,1293814,1301871,1309979,1318137,1326346,1334606,1342918,1351281,1359696,1368164,1376685,1385258,1393701,1402381,1411114,1419902,1428575,1437472,1446424,1455432,1464341,1473461,1482637,1491732,1501022,1510370,1519656,1529120,1538642,1548224,1557866,1567567,1577330,1587152,1597036,1606982,1616989,1627059,1637192,1647387,1657646,1667859,1678246,1688697,1699213,1709795,1720284,1730997,1741777,1752623,1763491,1774473,1785524,1796643,1807831,1819089,1830417,1842007,1853622,1865311,1877073,1888909,1900820,1912806,1924868,1937005,1949220,1961511,1973879,1986326,1998851,2011456,2024139,2036903,2049747,2062672,2075679,2088767,2101939,2115193,2128531,2141952,2155459,2169051,2182728,2196492,2210342,2224280,2238306,2264000,2308000,2352000,2397000,2444000,2492000,2541000,2592000,2645000,2700000,2756000,2814000,2874000,2936000,3001000,3068000,3144000,3228000,3313000,3387000,3445000,3472000,3480000,3513000,3633000,3880000,4279000,4802000,5375000,5893000,6281000,6511000,6608000,6619000,6615000,6649000,6737000,6862000,7005000,7133000,7225000,7274000,7295000,7316000,7373000,7492000,7683000,7936000,8235000,8554000,8872000,9187000,9501000,9815000,10130000,10447000,10764000,11080000,11397000,11718000,12044000,12376000,12715000,13064000,13424000,13797000,14186000,14589000,15008000,15443000
South Africa,1446092,1451383,1456693,1462023,1467372,1472741,1478129,1483537,1488965,1494779,1500715,1507144,1514072,1521507,1529455,1537922,1546916,1556443,1566511,1577125,1588294,1600025,1612324,1625199,1638658,1652708,1667356,1682611,1698479,1714970,1732090,1749381,1766844,1784482,1802296,1820288,1838460,1856812,1875348,1894070,1912978,1932074,1951362,1970842,1990516,2010387,2030456,2050725,2071197,2091873,2112615,2133562,2154717,2176082,2197659,2219449,2241456,2263681,2286126,2308794,2332988,2358751,2386125,2415154,2445884,2478360,2512629,2548739,2586740,2626681,2668615,2712593,2749450,2797910,2848726,2901960,2951376,3010749,3072938,3136412,3197614,3263663,3331077,3396551,3466709,3538317,3608369,3682903,3758976,3836620,3915869,3996754,4079310,4163571,4249573,4337351,4426942,4518383,4611714,4706972,4804198,4899997,5001210,5104514,5209951,5317566,5422080,5534077,5648387,5765058,5882489,6003996,6130283,6261498,6397794,6537056,6679350,6825351,6974387,7126677,7282293,7441307,7603793,7769828,7939487,8112851,8290001,8471019,8655990,8844999,9038136,9235490,9437153,9643220,9853786,10068951,10288813,10513476,10743046,10977627,11217332,11462270,11712556,11968308,12229644,12496687,12769561,13048393,13333314,13628000,13922000,14226000,14542000,14868000,15207000,15557000,15921000,16299000,16691000,17100000,17525000,17966000,18423000,18896000,19385000,19888000,20407000,20942000,21496000,22070000,22665000,23282000,23913000,24553000,25195000,25837000,26481000,27139000,27827000,28557000,29333000,30150000,30994000,31842000,32679000,33496000,34298000,35101000,35930000,36801000,37719000,38673000,39634000,40564000,41436000,42241000,42987000,43682000,44339000,44968000,45571000,46151000,46719000,47292000,47881000,48489000,49120000,49779000,50477000,51217000,52004000,52833000,53687000,54544000,55386000,56208000,57010000,57793000,58558000
South Korea,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395000,9395236,9395709,9396418,9397364,9398547,9399966,9401623,9403516,9405647,9408016,9410622,9413465,9416547,9419866,9423423,9427219,9431252,9435525,9440035,9444785,9449773,9454763,9459757,9464753,9469751,9474753,9479757,9484763,9489772,9494784,9500049,9505567,9511338,9517364,9523643,9530178,9536968,9544013,9551315,9558873,9566882,9575149,9583674,9592457,9601499,9610801,9620362,9630183,9640265,9650608,9660937,9671000,9680799,9690333,9699600,9708602,9717336,9725803,9734003,9741935,9749598,9756992,9765420,9772176,9778631,9784787,9791208,9796495,9801443,9806394,9811342,9816298,9821256,9826212,9831177,9836145,9841109,9846085,9851064,9856047,9861034,9866025,9871019,9876018,9881021,9887393,9895136,9904255,9914753,9926632,9939897,9951316,9968114,9986613,10006818,10027064,10047258,10067585,10116344,10193928,10271398,10436148,10605243,10768670,10934775,11101554,11279354,11459856,11640434,11839704,12057999,12298992,12544992,12786653,13004615,13197877,13374783,13554026,13735605,13929868,14137483,14358449,14582752,14810394,15002988,15160201,15280698,15402530,15525029,15684578,15881512,16116830,16355487,16618323,17258364,17980220,18643800,18907660,19066124,19211000,19453000,19818000,20293000,20864000,21515000,22227000,22984000,23766000,24553000,25330000,26084000,26812000,27518000,28210000,28896000,29573000,30237000,30892000,31544000,32196000,32851000,33507000,34154000,34781000,35379000,35942000,36475000,36992000,37511000,38046000,38602000,39175000,39748000,40296000,40804000,41265000,41687000,42087000,42491000,42918000,43373000,43848000,44335000,44820000,45293000,45751000,46196000,46621000,47017000,47379000,47706000,48000000,48261000,48493000,48701000,48880000,49035000,49182000,49347000,49546000,49786000,50061000,50346000,50608000,50823000,50983000,51096000,51172000,51225000
South Sudan,1028736,1030097,1031459,1032822,1034188,1035555,1036925,1038296,1039668,1041076,1042610,1044304,1046160,1048177,1050357,1052700,1055209,1057883,1060724,1063732,1066910,1070256,1073773,1077461,1081322,1085356,1089565,1093949,1098509,1103246,1108162,1113099,1118059,1123041,1128045,1133071,1138120,1143191,1148284,1153401,1158540,1163702,1168887,1174095,1179327,1184581,1189860,1195161,1200486,1205835,1217862,1229972,1242165,1254443,1266805,1279253,1291786,1304406,1317112,1329906,1342788,1355758,1368817,1381965,1395204,1408533,1421953,1435465,1449069,1462765,1476555,1490439,1504318,1518390,1532558,1546822,1561090,1575547,1590102,1604755,1619422,1634273,1649224,1664199,1679352,1694607,1709897,1725357,1740920,1756589,1772362,1788241,1804226,1820318,1836518,1852826,1869243,1885769,1902406,1919153,1936012,1952919,1970002,1987199,2004509,2021935,2039382,2057039,2074812,2092703,2110684,2128812,2147059,2165427,2183916,2202527,2221260,2228171,2238099,2248071,2258088,2268149,2278255,2288407,2298603,2308845,2319132,2329466,2339845,2350271,2360743,2371262,2381827,2392440,2403100,2413807,2424562,2435366,2446217,2457116,2468065,2479062,2490107,2501203,2512347,2523541,2534786,2546080,2557424,2482000,2502000,2525000,2553000,2585000,2620000,2658000,2700000,2745000,2792000,2843000,2896000,2951000,3009000,3070000,3133000,3199000,3268000,3340000,3416000,3494000,3576000,3661000,3751000,3844000,3942000,4042000,4145000,4253000,4372000,4503000,4646000,4799000,4953000,5096000,5221000,5328000,5420000,5485000,5512000,5493000,5420000,5305000,5186000,5111000,5118000,5222000,5412000,5662000,5934000,6199000,6448000,6688000,6936000,7213000,7536000,7907000,8315000,8737000,9142000,9508000,9831000,10114000,10355000,10555000,10716000,10833000,10911000,10976000,11062000
Spain,11581132,11613057,11645070,11677172,11709362,11741641,11774009,11806466,11839012,11873298,11908284,11945659,11985465,12027700,12072359,12119484,12169120,12221263,12275955,12333192,12393019,12455477,12520563,12588273,12658697,12731783,12807623,12886212,12967593,13051762,13138762,13226333,13314476,13403190,13492476,13582381,13672905,13764000,13855714,13948048,14040095,14131857,14223286,14314381,14405190,14495619,14585333,14674095,14761286,14846857,14931434,15014209,15095182,15174304,15251576,15326997,15400519,15472095,15541724,15609406,15675093,15739691,15803150,15865471,15926702,15986795,16045749,16104709,16164627,16226123,16289245,16354042,16413402,16481160,16550926,16622648,16687381,16763167,16841198,16921004,16995824,17079976,17165536,17253528,17343598,17432828,17524602,17612176,17698572,17783792,17867926,17950884,18032664,18114000,18195704,18278692,18366240,18458444,18555304,18652444,18758888,18857048,18974620,19098102,19227612,19362032,19490896,19637152,19773992,19910848,20048248,20184526,20320480,20457452,20595436,20734436,20874118,21013556,21154312,21308440,21487976,21693592,21913584,22135582,22359920,22586598,22815616,23046976,23280340,23513706,23743394,23969738,24195080,24423096,24653116,24885144,25119178,25355552,25594268,25828300,26050632,26261264,26466878,26674164,26883124,27093420,27305722,27519360,27802454,28070000,28220000,28399000,28600000,28818000,29048000,29290000,29544000,29811000,30097000,30402000,30730000,31075000,31433000,31792000,32146000,32492000,32830000,33169000,33518000,33884000,34267000,34664000,35069000,35476000,35879000,36277000,36667000,37040000,37387000,37698000,37972000,38210000,38413000,38587000,38734000,38856000,38954000,39039000,39119000,39203000,39299000,39411000,39534000,39660000,39787000,39909000,40035000,40202000,40454000,40825000,41319000,41920000,42596000,43308000,44019000,44729000,45429000,46069000,46584000,46931000,47084000,47063000,46931000,46778000,46672000,46634000,46647000,46693000,46737000
Sri Lanka,1213000,1213000,1213000,1213000,1213000,1213000,1213000,1213000,1213000,1213000,1214173,1216542,1220133,1224969,1231077,1238481,1247209,1257286,1268741,1281602,1295897,1311654,1328905,1347679,1368006,1389920,1413451,1438633,1465499,1494084,1524422,1555376,1586958,1619182,1652060,1685606,1719833,1754754,1790385,1826740,1862901,1898856,1934588,1970082,2005323,2040294,2074978,2109358,2143416,2177134,2210294,2243070,2275443,2307391,2338895,2369932,2400482,2430521,2460026,2488974,2517436,2545727,2573787,2601648,2629345,2656815,2684045,2711065,2737863,2764423,2790730,2817053,2844671,2870964,2897627,2924062,2950006,2975536,3000789,3026389,3050326,3078369,3107004,3133605,3166218,3202122,3234458,3275025,3317941,3361301,3408367,3458594,3512525,3567714,3621806,3683765,3743812,3805567,3869393,3941352,4016285,4085000,4156176,4227229,4301254,4371285,4459587,4515886,4574959,4637602,4710311,4757285,4783701,4823369,4875953,4942444,5009586,5078655,5148234,5212844,5275134,5333449,5382486,5428210,5467638,5513693,5588243,5629328,5667763,5673726,5713155,5752252,5793337,5829452,5868550,5907315,5956353,6006715,6054758,6095843,6127651,6181327,6271780,6423862,6608745,6805887,7002699,7201829,7600628,7971000,8108000,8257000,8417000,8591000,8778000,8979000,9191000,9412000,9641000,9874000,10112000,10352000,10598000,10850000,11111000,11381000,11658000,11938000,12215000,12486000,12748000,13002000,13252000,13502000,13755000,14013000,14273000,14534000,14789000,15036000,15273000,15501000,15725000,15949000,16176000,16409000,16644000,16878000,17107000,17326000,17536000,17737000,17925000,18094000,18243000,18367000,18471000,18565000,18663000,18778000,18912000,19062000,19224000,19387000,19545000,19696000,19842000,19984000,20124000,20262000,20398000,20533000,20663000,20789000,20908000,21021000,21128000,21229000,21324000
Sudan,3999435,4004723,4010018,4015320,4020629,4025945,4031268,4036598,4041935,4047408,4053372,4059957,4067169,4075011,4083486,4092598,4102350,4112747,4123791,4135488,4147839,4160849,4174522,4188861,4203871,4219554,4235916,4252958,4270687,4289105,4308216,4327412,4346693,4366061,4385515,4405055,4424683,4444398,4464201,4484092,4504072,4524140,4544299,4564547,4584885,4605314,4625834,4646445,4667148,4687944,4693300,4698612,4703877,4709096,4714269,4719394,4724471,4729499,4734479,4739409,4744289,4749118,4753897,4758623,4763297,4767919,4772487,4777001,4781461,4785865,4790214,4794506,4798426,4802604,4806724,4810785,4814502,4818444,4822326,4826146,4829650,4833347,4836980,4840326,4843832,4847272,4850456,4853764,4857006,4860181,4863287,4866324,4869292,4872190,4875017,4877773,4880456,4883066,4885603,4888065,4890453,4892603,4894838,4896996,4899075,4901076,4902772,4904613,4906374,4908053,4909584,4911097,4912527,4913871,4915130,4916302,4917387,4946269,4968308,4990445,5012681,5035016,5057451,5079985,5102620,5125356,5148193,5171132,5194173,5217316,5240563,5263913,5287368,5310927,5334591,5358360,5382235,5406217,5430305,5454501,5478805,5503216,5527737,5552367,5577107,5601957,5626917,5651989,5677173,5734000,5885000,6041000,6204000,6373000,6549000,6732000,6923000,7122000,7329000,7544000,7769000,8004000,8249000,8504000,8770000,9048000,9338000,9640000,9954000,10282000,10621000,10975000,11344000,11733000,12144000,12578000,13035000,13510000,14002000,14507000,15027000,15562000,16108000,16658000,17210000,17757000,18303000,18868000,19477000,20148000,20891000,21696000,22528000,23338000,24095000,24782000,25414000,26016000,26627000,27275000,27971000,28705000,29461000,30214000,30950000,31662000,32361000,33061000,33784000,34545000,35350000,36194000,37073000,37978000,38903000,39847000,40813000,41802000,42813000
Suriname,80721,80721,80721,80721,80721,80721,80721,80721,80721,80721,80750,80808,80896,81014,81162,81339,81548,81786,82056,82357,82689,83053,83449,83876,84336,84829,85354,85913,86504,87130,87789,88453,89122,89796,90475,91159,91849,92544,93244,93949,94660,95376,96097,96824,97556,98294,99038,99787,100542,101302,102054,102812,103575,104344,105119,105899,106686,107478,108276,109079,109889,110705,111527,112355,113189,114029,114876,115729,116588,117453,118325,119204,120066,120957,121855,122760,123650,124568,125493,126424,127344,128289,129241,130184,131150,132124,133089,134077,135073,136075,137085,138103,139128,140161,141202,142250,143306,144369,145441,146521,147608,148690,149794,150906,152026,153155,154271,155416,156570,157732,158897,160076,161265,162462,163668,164882,166106,167371,168637,169912,171197,172492,173797,175112,176436,177771,179116,180471,181836,183211,184597,185993,187400,188818,190246,191685,193135,194596,196068,197551,199045,200551,202068,203596,205136,206688,208251,209826,211414,215000,222000,229000,236000,242000,249000,256000,264000,272000,280000,288000,296000,304000,312000,320000,329000,338000,348000,357000,364000,368000,369000,368000,365000,362000,359000,358000,358000,358000,359000,360000,360000,361000,362000,365000,369000,374000,381000,389000,397000,405000,413000,421000,428000,435000,442000,448000,454000,460000,465000,471000,477000,482000,488000,494000,499000,505000,511000,517000,523000,529000,535000,541000,547000,553000,559000,565000,571000,576000,581000
Sweden,2354278,2360724,2376420,2393815,2410798,2424756,2431799,2431251,2415344,2428185,2439240,2451606,2465326,2480193,2496182,2513283,2531325,2550203,2570036,2591521,2615075,2639791,2665075,2691203,2718270,2746137,2774189,2801775,2828833,2855774,2883180,2911168,2939410,2967550,2995557,3023380,3050621,3077430,3104649,3132892,3162148,3192035,3222296,3252800,3283646,3314698,3345364,3375787,3407192,3440593,3476353,3512749,3549169,3586123,3623453,3660986,3698643,3736460,3773608,3809535,3844313,3879240,3914777,3951272,3987980,4024562,4061163,4098433,4136265,4174365,4211318,4245989,4280191,4313280,4345302,4376420,4406577,4437741,4470072,4503095,4538520,4568601,4597782,4629478,4655471,4681383,4704725,4728729,4753783,4780109,4808124,4837852,4868602,4900613,4932706,4965949,5001549,5037327,5074076,5111095,5148106,5184647,5221069,5257162,5294734,5333786,5370102,5410095,5450521,5492756,5535196,5580077,5628627,5675363,5717328,5756069,5792214,5819451,5842343,5870417,5911299,5954590,5992340,6024314,6054517,6079920,6099870,6116179,6128283,6140565,6154563,6173895,6196513,6219497,6240428,6260266,6279424,6300941,6325897,6353380,6384219,6424889,6479056,6544838,6614252,6688095,6763099,6840998,6927503,7010000,7073000,7128000,7176000,7220000,7263000,7305000,7347000,7391000,7436000,7483000,7530000,7580000,7631000,7687000,7746000,7809000,7876000,7942000,8003000,8055000,8096000,8127000,8152000,8174000,8197000,8223000,8251000,8277000,8300000,8316000,8325000,8329000,8332000,8340000,8358000,8385000,8421000,8465000,8514000,8567000,8625000,8687000,8747000,8798000,8836000,8859000,8869000,8871000,8873000,8882000,8898000,8921000,8951000,8991000,9039000,9096000,9163000,9236000,9313000,9390000,9467000,9543000,9618000,9692000,9765000,9836000,9905000,9972000,10036000
Switzerland,1833734,1841448,1849196,1856975,1864788,1872634,1880512,1888424,1896369,1904962,1913150,1921449,1929951,1938609,1947419,1956429,1965590,1974946,1984450,1994147,2004035,2014065,2024284,2034690,2045280,2056054,2067010,2078146,2089509,2101048,2112905,2124952,2137238,2149714,2162429,2175381,2188524,2201905,2215524,2229381,2243619,2257619,2271381,2285286,2299333,2313524,2327810,2342143,2356524,2370905,2385304,2399655,2413910,2428116,2442178,2456145,2470015,2483884,2497753,2511572,2525820,2539923,2554550,2569746,2585037,2600470,2616044,2631760,2647713,2663903,2680140,2696185,2712201,2728312,2744317,2760162,2777408,2793069,2808435,2822978,2838832,2852526,2865820,2879845,2892200,2906014,2917431,2933408,2951745,2972441,2995497,3020911,3048775,3078997,3111578,3146880,3184812,3223377,3262483,3297231,3337604,3376007,3417827,3460309,3503565,3547151,3586010,3640592,3683592,3726391,3769253,3812045,3852174,3873339,3879534,3876415,3875293,3870678,3867019,3865688,3867351,3869347,3875999,3887974,3904272,3924229,3950173,3980109,4011708,4042309,4068918,4092534,4112491,4130120,4145420,4158725,4171032,4183671,4198972,4219594,4246203,4278467,4315055,4356965,4404862,4458081,4514626,4572169,4620096,4668000,4722000,4781000,4842000,4900000,4957000,5012000,5068000,5128000,5198000,5281000,5378000,5487000,5602000,5713000,5813000,5899000,5974000,6038000,6096000,6151000,6203000,6251000,6293000,6322000,6337000,6336000,6322000,6302000,6287000,6284000,6296000,6321000,6357000,6396000,6435000,6473000,6511000,6551000,6597000,6653000,6719000,6793000,6869000,6938000,6996000,7038000,7069000,7092000,7115000,7144000,7179000,7220000,7268000,7324000,7387000,7458000,7537000,7623000,7714000,7809000,7907000,8008000,8109000,8206000,8297000,8380000,8456000,8526000,8591000
